物品索引（从1起始）	物品最大叠放值
418	50
469	50
470	50
471	50
472	50
473	50
474	50
475	50
476	50
477	50
478	50
479	50
480	50
481	50
482	50
483	50
484	50
485	50
486	50
487	50
488	50
508	50
509	50
510	50
511	50
512	50
513	50
514	50
515	50
516	50
517	50
518	50
519	50
520	50
521	50
522	50
523	50
524	50
525	50
526	50
527	50
528	50
541	50
542	50
543	50
544	50
545	50
546	50
547	50
548	50
549	50
550	50
551	50
552	50
553	50
554	50
555	50
556	50
557	50
558	50
559	50
560	50
561	50
562	50
563	50
564	50
565	50
566	50
567	50
568	50
569	50
570	50
571	50
572	50
573	50
574	50
575	50
576	50
577	50
578	50
579	50
580	50
581	50
582	50
583	50
584	50
585	50
586	50
587	50
588	50
589	50
590	50
591	50
592	50
593	50
594	50
595	50
596	50
597	50
598	50
599	50
600	50
601	50
602	50
603	50
604	50
605	50
606	50
607	50
608	50
609	50
610	50
611	50
612	50
613	50
614	50
615	50
616	50
617	50
618	50
619	50
620	50
621	50
622	50
623	50
624	50
625	50
626	50
627	50
628	50
629	50
630	50
631	50
632	50
633	50
634	50
635	50
636	50
637	50
638	50
639	50
640	50
641	50
642	50
643	50
644	50
645	50
646	50
647	50
648	50
649	50
650	50
651	50
652	50
653	50
654	50
655	50
656	50
657	50
658	50
659	50
660	50
661	50
662	50
663	50
664	50
665	50
666	50
667	50
668	50
669	50
670	50
671	50
672	50
673	50
674	50
675	50
676	50
677	50
678	50
679	50
680	50
681	50
682	50
683	50
684	50
685	50
686	50
687	50
688	50
689	50
690	50
691	50
692	50
693	50
694	50
695	50
696	50
697	50
698	50
699	50
700	50
701	50
702	50
703	50
704	50
705	50
706	50
707	50
708	50
709	50
710	50
711	50
712	50
713	50
714	50
715	50
716	50
717	50
718	50
719	50
720	50
721	50
722	50
723	50
724	50
725	50
726	50
727	50
728	50
729	50
730	50
731	50
732	50
733	50
734	50
735	50
736	50
737	50
738	50
739	50
740	50
741	50
742	50
743	50
744	50
745	50
746	50
747	50
748	50
749	50
750	50
751	50
752	50
753	50
754	50
755	50
756	50
757	50
758	50
759	50
760	50
761	50
762	50
763	50
764	50
765	50
766	50
767	50
768	50
769	50
770	50
771	50
772	50
773	50
774	50
775	50
776	50
777	50
778	50
779	50
780	50
781	50
782	50
783	50
784	50
785	50
786	50
787	50
788	50
